ParticipantID,ParticipantEmail,ParticipantFirstName,ParticipantLastName,ParticipantDOB,ParticipantRole,ParticipantPhone,ParticipantCity,ParticipantState,ParticipantZip,ParticipantSchoolOrEmployer,ParticipantFieldOfInterest,EventTemplateID,EventName,EventType,EventDescription,EventRecurrencePattern,EventDefaultCapacity,EventOccurrenceID,EventTemplateID.1,EventName.1,EventDateTimeStart,EventDateTimeEnd,EventLocation,EventCapacity,EventRegistrationDeadline,RegistrationID,ParticipantID.1,EventOccurrenceID.1,RegistrationStatus,RegistrationAttendedFlag,RegistrationCheckInTime,RegistrationCreatedAt,SurveyID,RegistrationID.1,SurveySatisfactionScore,SurveyUsefulnessScore,SurveyInstructorScore,SurveyRecommendationScore,SurveyOverallScore,SurveyNPSBucket,SurveyComments,SurveySubmissionDate,MilestoneID,ParticipantID.2,MilestoneTitle,MilestoneDate,DonationID,ParticipantID.3,DonationDate,DonationAmount
1,penelope.martinez4@studentmail.org,Penelope,Martinez,3/3/2000 0:00,participant,801-294-7224,Lehi,UT,84105,UVU,Arts,1,Mentor Office Hours,Leadership,One-on-one mentoring & career advising.,Weekly,100,1,1,Mentor Office Hours,10/6/2024 10:00,10/6/2024 12:00,Ella Rises HQ,100,9/29/2024 10:00,1,1,1,attended,1,10/6/2024 10:01,9/9/2024 10:00,1,3,5,4,5,4,4.5,Passive,"The panel Q&A during Mentor Office Hours really clicked for me, I left with actionable next steps; I left energized to keep learning. The networking breakouts during Mentor Office Hours really clicked for me, the pacing made complex ideas feel doable.",10/28/2024 16:14,1,1,AA in Art & Design,3/7/2025,1,2,1/6/2022,257.41
2,natalie.torres6@studentmail.org,Natalie,Torres,6/28/2004 0:00,participant,801-877-4733,Ogden,UT,84047,East Ridge Middle,STEM,2,Robotics Lab Saturday,STEM,Build & test robots with mentors.,Weekly,100,2,2,Robotics Lab Saturday,4/2/2022 10:00,4/2/2022 12:00,Ella Rises HQ,100,3/26/2022 10:00,2,2,2,attended,1,4/2/2022 10:01,3/30/2022 10:00,2,5,5,4,5,5,4.75,Promoter,"At first, the pacing made complex ideas feel doable, the goal-setting exercise during Mentor Office Hours really clicked for me; I left energized to keep learning. The pacing made complex ideas feel doable, the mentor roundtable during Mentor Office Hours really clicked for me; This was absolutely worth the time. (wish there had been more time).",8/28/2023 23:10,2,1,Clinical Data Coordinator,11/3/2024,2,14,UNKNOWN_DATE,55.26
3,elizabeth.harris7@learners.net,Elizabeth,Harris,4/21/2006 0:00,participant,801-573-3664,Riverton,UT,84651,UVU,STEM,3,Girls in STEAM Mentoring,Leadership,Group mentoring on pathways into STEAM careers.,Weekly,100,3,1,Mentor Office Hours,10/27/2024 10:00,10/27/2024 12:00,Virtual Zoom,100,10/20/2024 10:00,3,3,3,attended,1,10/27/2024 10:14,10/22/2024 10:00,3,6,4,5,5,4,4.5,Passive,"The goal-setting exercise during Girls in STEAM Mentoring really clicked for me, it boosted my confidence more than I expected; This was absolutely worth the time. The networking breakouts during Girls in STEAM Mentoring really clicked for me, there were concrete examples I can reuse at school; I'd definitely recommend this to a friend.",11/6/2024 16:19,3,2,Middle School Diploma,8/29/2022,3,15,UNKNOWN_DATE,55.26
4,paisley.jones8@studentmail.org,Paisley,Jones,1/21/2004 0:00,participant,801-673-7216,West Jordan,UT,84168,Startup Lab,Both,4,Monthly Coding Club,STEM,Guided coding sessions and peer projects.,Monthly,100,4,1,Mentor Office Hours,9/11/2022 10:00,9/11/2022 12:00,Art Studio 2,100,9/4/2022 10:00,4,4,4,attended,1,9/11/2022 10:09,9/5/2022 10:00,4,7,5,3,4,5,4.25,Promoter,"Overall, the mentor roundtable during Mentor Office Hours really clicked for me, the hands-on segment tied everything together. To be fair, the networking breakouts during Mentor Office Hours really clicked for me, the hands-on segment tied everything together. The networking breakouts during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; It was useful overall.  next time I'd bring a friend. The mentors were down-to-earth and answered real questions, the networking breakouts during Mentor Office Hours really clicked for me; I might recommend it depending on the topic.",1/3/2022 18:28,4,2,Published Project,11/13/2022,4,16,UNKNOWN_DATE,74.25
5,victoria.lee9@ellarises.org,Victoria,Lee,12/31/2006 0:00,participant,801-232-6168,West Jordan,UT,84842,BYU,STEM,5,Intro to Painting Class,Arts,"Foundations of painting, color theory, and practice.",Weekly,100,5,1,Mentor Office Hours,8/27/2023 10:00,8/27/2023 12:00,Ella Rises HQ,100,8/20/2023 10:00,5,5,5,attended,1,8/27/2023 10:10,8/25/2023 10:00,5,8,4,4,5,4,4.25,Passive,"I met people who want to collaborate on projects, the resume clinic during Mentor Office Hours really clicked for me. The panel Q&A during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; I might recommend it depending on the topic.",10/5/2025 15:09,5,3,High School Diploma,5/2/2025,5,17,UNKNOWN_DATE,74.25
6,hannah.torres10@learners.net,Hannah,Torres,6/2/2012 0:00,participant,801-711-7482,Sandy,UT,84672,Mountain View High,STEM,6,Data Science Study Group,STEM,"Intro analytics, Python challenges, and mini-projects.",Weekly,100,6,3,Girls in STEAM Mentoring,11/5/2024 10:00,11/5/2024 12:00,Community Center Room A,100,10/29/2024 10:00,6,5,6,attended,1,11/5/2024 10:19,10/24/2024 10:00,6,11,4,4,4,5,4.25,Promoter,"The hands-on segment tied everything together, the networking breakouts during Girls in STEAM Mentoring really clicked for me; I'm curious to see how the next session improves! The pacing made complex ideas feel doable, the panel Q&A during Girls in STEAM Mentoring really clicked for me; I'd attend again with a clearer agenda.",4/4/2023 12:03,6,4,Mentorship Program,6/26/2023,6,19,11/17/2022,103.83
7,lucy.rodriguez11@studentmail.org,Lucy,Rodriguez,2/2/2011 0:00,participant,801-798-8019,Layton,UT,84765,SLCC,Arts,7,Leadership Circle Meetup,Leadership,"Mentorship, goal-setting, and soft skills workshops.",Monthly,100,7,1,Mentor Office Hours,1/2/2022 10:00,1/2/2022 12:00,Community Center Room A,100,12/26/2021 10:00,7,5,7,attended,1,1/2/2022 10:28,12/12/2021 10:00,7,12,4,5,5,5,4.75,Promoter,"I left with actionable next steps, the Python lab during Monthly Coding Club really clicked for me; I left energized to keep learning. The pacing made complex ideas feel doable, the Arduino demo during Monthly Coding Club really clicked for me.",6/16/2024 22:02,7,4,Internship,9/28/2022,7,27,10/5/2023,177.27
8,victoria.rodriguez12@community.org,Victoria,Rodriguez,6/6/2001 0:00,participant,801-248-2796,Ogden,UT,84774,Tech Apprenticeship,STEM,8,Web Dev Bootcamp Night,STEM,HTML/CSS/JS sprints and portfolio building.,Weekly,100,8,1,Mentor Office Hours,10/5/2025 10:00,10/5/2025 12:00,Local Library,100,9/28/2025 10:00,8,6,8,attended,1,10/5/2025 10:09,9/27/2025 10:00,8,13,4,4,4,5,4.25,Promoter,"In my opinion, the color theory lesson during Intro to Painting Class really clicked for me, the organizers ran things smoothly even with a big crowd.",9/19/2025 9:08,8,4,BS in Information Systems,1/21/2024,8,31,6/12/2023,108.29
9,elijah.hill13@ellarises.org,Elijah,Hill,11/13/2009 0:00,participant,801-810-8668,Bountiful,UT,84391,BYU,Both,9,Ella Rises Annual Leadership Conference,Annual Conference,Flagship leadership & inspiration conference for girls in STEAM.,Annual,100,9,2,Robotics Lab Saturday,11/18/2023 10:00,11/18/2023 12:00,Community Center Room A,100,11/11/2023 10:00,9,6,9,attended,1,11/18/2023 10:19,11/13/2023 10:00,9,14,4,4,4,5,4.25,Promoter,"The Python lab during Robotics Lab Saturday really clicked for me, the organizers ran things smoothly even with a big crowd  which surprised me in a good way. I didn't expect this, but, the Python lab during Robotics Lab Saturday really clicked for me, there were concrete examples I can reuse at school (snacks were a plus). The robot build during Robotics Lab Saturday really clicked for me, the pacing made complex ideas feel doable.",2/5/2024 8:06,9,5,High School Diploma,12/31/2023,9,32,6/12/2023,108.29
10,olivia.davis14@learners.net,Olivia,Davis,7/19/2001 0:00,participant,801-500-8123,Lehi,UT,84115,Mountain View High,STEM,10,Monthly Art Studio Workshop,Arts,Studio time with rotating media and guest artists.,Monthly,100,10,1,Mentor Office Hours,6/23/2024 10:00,6/23/2024 12:00,Ella Rises HQ,100,6/16/2024 10:00,10,6,10,attended,1,6/23/2024 10:15,6/10/2024 10:00,10,15,5,5,4,5,4.75,Promoter,"I left with actionable next steps, the panel Q&A during Mentor Office Hours really clicked for me; I'd come again and bring a classmate next time! The pacing made complex ideas feel doable, the resume clinic during Mentor Office Hours really clicked for me! Overall, I left with actionable next steps, the panel Q&A during Mentor Office Hours really clicked for me; I left energized to keep learning!",6/16/2024 15:22,10,6,High School Diploma,12/31/2023,10,33,1/8/2024,73.64
